district_id;district_name;year;month;week;cases;population;area_km2;density;cases_per_100k
Q1;Quận 1;2022;1;4;14;142625.0;7.73;18.451;9.816
Q10;Quận 10;2022;1;4;23;234819.0;5.72;41.052;9.795
Q11;Quận 11;2022;1;4;22;209867.0;5.14;40.83;10.483
Q12;Quận 12;2022;1;4;66;620146.0;52.74;11.921;10.643
Q3;Quận 3;2022;1;4;19;190375.0;4.92;38.694;9.98
Q4;Quận 4;2022;1;4;18;175329.0;4.18;41.945;10.266
Q5;Quận 5;2022;1;4;18;159073.0;4.27;37.254;11.316
Q6;Quận 6;2022;1;4;28;233561.0;7.19;32.712;11.988
Q7;Quận 7;2022;1;4;31;360155.0;35.69;10.091;8.607
Q8;Quận 8;2022;1;4;47;424667.0;19.18;22.222;11.067
TB;Tân Bình;2022;1;4;63;474792.0;22.43;21.168;13.269
TP;Tân Phú;2022;1;4;63;485348.0;15.97;30.391;12.98
TD;Thủ Đức;2022;1;4;167;1169967.0;211.56;5.53;14.274
BC;Bình Chánh;2022;1;5;143;705508.0;252.69;2.793;20.269
BT;Bình Tân;2022;1;5;118;784173.0;52.02;15.074;15.048
BTH;Bình Thạnh;2022;1;5;49;499164.0;20.76;24.021;9.816
CG;Cần Giờ;2022;1;5;9;71526.0;704.45;102.0;12.583
CC;Củ Chi;2022;1;5;82;462047.0;434.77;1.063;17.747
GV;Gò Vấp;2022;1;5;93;676899.0;19.73;34.308;13.739
HM;Hóc Môn;2022;1;5;82;542243.0;109.17;4.967;15.122
NB;Nhà Bè;2022;1;5;26;206837.0;100.43;2.06;12.57
PN;Phú Nhuận;2022;1;5;11;163961.0;4.86;33.599;6.709
Q1;Quận 1;2022;1;5;19;142625.0;7.73;18.451;13.322
Q10;Quận 10;2022;1;5;26;234819.0;5.72;41.052;11.072
Q11;Quận 11;2022;1;5;21;209867.0;5.14;40.83;10.006
Q12;Quận 12;2022;1;5;74;620146.0;52.74;11.921;11.933
Q3;Quận 3;2022;1;5;17;190375.0;4.92;38.694;8.93
Q4;Quận 4;2022;1;5;15;175329.0;4.18;41.945;8.555
Q5;Quận 5;2022;1;5;24;159073.0;4.27;37.254;15.087
Q6;Quận 6;2022;1;5;27;233561.0;7.19;32.712;11.56
Q7;Quận 7;2022;1;5;33;360155.0;35.69;10.091;9.163
Q8;Quận 8;2022;1;5;56;424667.0;19.18;22.222;13.187
TB;Tân Bình;2022;1;5;64;474792.0;22.43;21.168;13.48
TP;Tân Phú;2022;1;5;55;485348.0;15.97;30.391;11.332
TD;Thủ Đức;2022;1;5;188;1169967.0;211.56;5.53;16.069
BC;Bình Chánh;2022;2;6;139;705508.0;252.69;2.793;19.702
BT;Bình Tân;2022;2;6;124;784173.0;52.02;15.074;15.813
BTH;Bình Thạnh;2022;2;6;66;499164.0;20.76;24.021;13.222
CG;Cần Giờ;2022;2;6;17;71526.0;704.45;102.0;23.768
CC;Củ Chi;2022;2;6;67;462047.0;434.77;1.063;14.501
GV;Gò Vấp;2022;2;6;87;676899.0;19.73;34.308;12.853
HM;Hóc Môn;2022;2;6;79;542243.0;109.17;4.967;14.569
NB;Nhà Bè;2022;2;6;28;206837.0;100.43;2.06;13.537
PN;Phú Nhuận;2022;2;6;17;163961.0;4.86;33.599;10.368
Q1;Quận 1;2022;2;6;12;142625.0;7.73;18.451;8.414
Q10;Quận 10;2022;2;6;23;234819.0;5.72;41.052;9.795
Q11;Quận 11;2022;2;6;24;209867.0;5.14;40.83;11.436
Q12;Quận 12;2022;2;6;61;620146.0;52.74;11.921;9.836
Q3;Quận 3;2022;2;6;14;190375.0;4.92;38.694;7.354
Q4;Quận 4;2022;2;6;21;175329.0;4.18;41.945;11.977
Q5;Quận 5;2022;2;6;20;159073.0;4.27;37.254;12.573
Q6;Quận 6;2022;2;6;25;233561.0;7.19;32.712;10.704
Q7;Quận 7;2022;2;6;48;360155.0;35.69;10.091;13.328
Q8;Quận 8;2022;2;6;45;424667.0;19.18;22.222;10.597
TB;Tân Bình;2022;2;6;51;474792.0;22.43;21.168;10.742
TP;Tân Phú;2022;2;6;59;485348.0;15.97;30.391;12.156
TD;Thủ Đức;2022;2;6;181;1169967.0;211.56;5.53;15.471
BC;Bình Chánh;2022;2;7;167;705508.0;252.69;2.793;23.671
BT;Bình Tân;2022;2;7;116;784173.0;52.02;15.074;14.793
BTH;Bình Thạnh;2022;2;7;60;499164.0;20.76;24.021;12.02
CG;Cần Giờ;2022;2;7;10;71526.0;704.45;102.0;13.981
CC;Củ Chi;2022;2;7;51;462047.0;434.77;1.063;11.038
GV;Gò Vấp;2022;2;7;96;676899.0;19.73;34.308;14.182
HM;Hóc Môn;2022;2;7;80;542243.0;109.17;4.967;14.754
NB;Nhà Bè;2022;2;7;32;206837.0;100.43;2.06;15.471
PN;Phú Nhuận;2022;2;7;9;163961.0;4.86;33.599;5.489
Q1;Quận 1;2022;2;7;16;142625.0;7.73;18.451;11.218
Q10;Quận 10;2022;2;7;21;234819.0;5.72;41.052;8.943
Q11;Quận 11;2022;2;7;20;209867.0;5.14;40.83;9.53
Q12;Quận 12;2022;2;7;81;620146.0;52.74;11.921;13.061
Q3;Quận 3;2022;2;7;15;190375.0;4.92;38.694;7.879
